country,year,land_type,national_yield,world_yield,yield_factor,qscore_2018
Guadeloupe,2014,"Marine Fishing Grounds",304,503.836,0.603371,3A
Guadeloupe,2014,"Inland Fishing Grounds",0,0,1,3A
Guadeloupe,2014,"Forest Land",1.19807,1.81878,0.658723,3A
Guadeloupe,2014,Infrastructure,0,0,0.838047,3A
Guatemala,2014,"Crop Land",18.6993,13.0308,1.43501,2A
Guatemala,2014,"Grazing Land",18.1,6.19,2.92407,2A
Guatemala,2014,"Marine Fishing Grounds",565,503.836,1.1214,2A
Guatemala,2014,"Inland Fishing Grounds",0,0,1,2A
Guatemala,2014,"Forest Land",1.99146,1.81878,1.09494,2A
Guatemala,2014,Infrastructure,0,0,1.43501,2A
Guinea,2014,"Crop Land",2.0538,4.43611,0.462973,3A
Guinea,2014,"Grazing Land",11.01,6.19,1.77868,3A
Guinea,2014,"Marine Fishing Grounds",1002,503.836,1.98874,3A
Guinea,2014,"Inland Fishing Grounds",0,0,1,3A
Guinea,2014,"Forest Land",1.59317,1.81878,0.875951,3A
Guinea,2014,Infrastructure,0,0,0.462973,3A
Guinea-Bissau,2014,"Crop Land",1.45517,2.15695,0.674644,3A
Guinea-Bissau,2014,"Grazing Land",7.5,6.19,1.21163,3A
Guinea-Bissau,2014,"Marine Fishing Grounds",1038,503.836,2.06019,3A
Guinea-Bissau,2014,"Inland Fishing Grounds",0,0,1,3A
Guinea-Bissau,2014,"Forest Land",0.398291,1.81878,0.218988,3A
Guinea-Bissau,2014,Infrastructure,0,0,0.674644,3A
Guyana,2014,"Crop Land",12.7588,24.0851,0.529737,3A
Guyana,2014,"Grazing Land",13.32,6.19,2.15186,3A
Guyana,2014,"Marine Fishing Grounds",907,503.836,1.80019,3A
Guyana,2014,"Inland Fishing Grounds",0,0,1,3A
Guyana,2014,"Forest Land",3.98291,1.81878,2.18988,3A
Guyana,2014,Infrastructure,0,0,0.529737,3A
Haiti,2014,"Crop Land",3.44397,4.68345,0.735348,3A
Haiti,2014,"Grazing Land",9.2,6.19,1.48627,3A
Haiti,2014,"Marine Fishing Grounds",312.488,503.836,0.620216,3A
Haiti,2014,"Inland Fishing Grounds",0,0,1,3A
Haiti,2014,"Forest Land",1.19807,1.81878,0.658723,3A
Haiti,2014,Infrastructure,0,0,0.735348,3A
Hungary,2014,"Crop Land",5.95081,4.6324,1.28461,2A
Hungary,2014,"Grazing Land",11.94,6.19,1.92892,2A
Hungary,2014,"Marine Fishing Grounds",0,503.836,0,2A
Hungary,2014,"Inland Fishing Grounds",0,0,1,2A
Hungary,2014,"Forest Land",4.63026,1.81878,2.5458,2A
Hungary,2014,Infrastructure,0,0,1.28461,2A
India,2014,"Crop Land",5.04315,4.76403,1.05859,3A
India,2014,"Grazing Land",5.57,6.19,0.899838,3A
India,2014,"Marine Fishing Grounds",838.558,503.836,1.66435,3A
India,2014,"Inland Fishing Grounds",0,0,1,3A
India,2014,"Forest Land",0.557608,1.81878,0.306583,3A
India,2014,Infrastructure,0,0,1.05859,3A
Indonesia,2014,"Crop Land",7.92233,7.30428,1.08462,3A
Indonesia,2014,"Grazing Land",17.33,6.19,2.79968,3A
Indonesia,2014,"Marine Fishing Grounds",693.604,503.836,1.37665,3A
Indonesia,2014,"Inland Fishing Grounds",0,0,1,3A
Indonesia,2014,"Forest Land",1.11522,1.81878,0.613166,3A
Indonesia,2014,Infrastructure,0,0,1.08462,3A
"Iran, Islamic Republic of",2014,"Crop Land",5.43323,8.00315,0.678887,2A
"Iran, Islamic Republic of",2014,"Grazing Land",2.51,6.19,0.405493,2A
"Iran, Islamic Republic of",2014,"Marine Fishing Grounds",1349,503.836,2.67746,2A
"Iran, Islamic Republic of",2014,"Inland Fishing Grounds",0,0,1,2A
"Iran, Islamic Republic of",2014,"Forest Land",0.633177,1.81878,0.348132,2A
"Iran, Islamic Republic of",2014,Infrastructure,0,0,0.678887,2A
Iraq,2014,"Crop Land",2.86825,4.62506,0.620153,2A
Iraq,2014,"Grazing Land",2.11,6.19,0.340872,2A
